record_id,date_reported,lob,region,control_id,control_type,control_failed,delayed_attestation_count,threshold_breach,approval_delay_hrs,manager_override_flag,prior_incident_flag,audit_flagged_comment,risk_rating,regulatory_breach
rec_00024,10-11-2024,Compliance,LATAM,CTL-523,Detective,FALSE,2,FALSE,20.9,FALSE,FALSE,FALSE,High,FALSE
rec_00025,17-04-2023,Global Markets,EMEA,CTL-669,Corrective,FALSE,1,FALSE,28.7,FALSE,FALSE,TRUE,Low,FALSE
rec_00026,18-05-2023,Global Markets,EMEA,CTL-813,Detective,FALSE,1,TRUE,26,FALSE,FALSE,FALSE,Low,FALSE
rec_00027,28-09-2023,Retail Banking,NA,CTL-820,Detective,FALSE,2,FALSE,31.5,FALSE,FALSE,FALSE,High,FALSE
rec_00028,29-04-2023,Retail Banking,NA,CTL-600,Preventive,TRUE,1,FALSE,30.4,FALSE,FALSE,FALSE,Low,FALSE
rec_00029,20-04-2023,Risk Management,EMEA,CTL-880,Preventive,TRUE,0,FALSE,26.5,FALSE,FALSE,FALSE,Low,FALSE
rec_00030,20-07-2024,Compliance,EMEA,CTL-502,Corrective,FALSE,1,FALSE,-2,FALSE,FALSE,FALSE,Low,FALSE
rec_00031,09-06-2023,Global Markets,NA,CTL-651,Detective,FALSE,1,FALSE,35.7,TRUE,FALSE,FALSE,Low,TRUE
rec_00032,06-10-2023,Retail Banking,LATAM,CTL-183,Corrective,TRUE,1,FALSE,32.4,FALSE,FALSE,TRUE,Medium,TRUE
rec_00033,16-10-2023,Compliance,APAC,CTL-906,Preventive,FALSE,0,FALSE,44.7,FALSE,TRUE,FALSE,Low,FALSE
rec_00034,11-09-2024,Retail Banking,APAC,CTL-997,Preventive,TRUE,2,FALSE,19.2,FALSE,TRUE,FALSE,Medium,FALSE
rec_00035,04-08-2023,Retail Banking,APAC,CTL-764,Preventive,FALSE,1,FALSE,5.6,TRUE,FALSE,FALSE,Low,FALSE
rec_00036,18-12-2023,Global Markets,EMEA,CTL-766,Preventive,TRUE,0,FALSE,22.2,FALSE,FALSE,FALSE,Low,FALSE
rec_00037,28-07-2023,Global Markets,LATAM,CTL-179,Preventive,FALSE,2,FALSE,28.6,FALSE,FALSE,FALSE,Low,FALSE
rec_00038,04-12-2024,Retail Banking,NA,CTL-651,Corrective,TRUE,0,FALSE,19.6,TRUE,FALSE,FALSE,Low,FALSE
rec_00039,11-10-2024,Treasury,LATAM,CTL-131,Corrective,FALSE,0,FALSE,37.7,TRUE,TRUE,FALSE,High,TRUE
rec_00040,28-09-2023,Retail Banking,LATAM,CTL-952,Preventive,TRUE,0,FALSE,17.4,FALSE,FALSE,FALSE,Low,FALSE
rec_00041,01-06-2024,Retail Banking,APAC,CTL-935,Detective,TRUE,2,FALSE,23,FALSE,TRUE,FALSE,Medium,FALSE
rec_00042,15-05-2024,Risk Management,NA,CTL-787,Detective,FALSE,2,FALSE,21.5,FALSE,FALSE,FALSE,Medium,FALSE
rec_00043,15-09-2023,Risk Management,LATAM,CTL-555,Detective,FALSE,2,FALSE,51.7,FALSE,FALSE,TRUE,Low,TRUE
rec_00044,22-02-2023,Risk Management,NA,CTL-788,Detective,TRUE,2,TRUE,14.9,FALSE,TRUE,FALSE,Medium,FALSE
rec_00045,05-04-2023,Treasury,EMEA,CTL-226,Detective,TRUE,0,FALSE,29.8,FALSE,FALSE,FALSE,High,FALSE
rec_00046,11-10-2024,Treasury,APAC,CTL-461,Preventive,FALSE,1,FALSE,12,FALSE,FALSE,FALSE,Low,FALSE
rec_00047,09-03-2024,Retail Banking,NA,CTL-932,Corrective,TRUE,1,TRUE,27.4,FALSE,FALSE,FALSE,Medium,FALSE
rec_00048,11-10-2023,Risk Management,EMEA,CTL-485,Preventive,FALSE,1,FALSE,14.5,FALSE,FALSE,FALSE,Low,FALSE
rec_00049,15-02-2023,Treasury,EMEA,CTL-947,Detective,FALSE,1,FALSE,35,FALSE,TRUE,FALSE,Low,FALSE
rec_00050,04-01-2023,Global Markets,EMEA,CTL-715,Detective,TRUE,1,FALSE,33.1,FALSE,FALSE,FALSE,Medium,FALSE
rec_00051,08-12-2023,Retail Banking,LATAM,CTL-466,Corrective,FALSE,0,FALSE,26.7,FALSE,FALSE,FALSE,Medium,FALSE
rec_00052,14-05-2023,Compliance,LATAM,CTL-496,Preventive,FALSE,0,FALSE,10.1,FALSE,FALSE,FALSE,Medium,FALSE
rec_00053,14-10-2024,Retail Banking,APAC,CTL-281,Corrective,TRUE,0,TRUE,23.5,TRUE,FALSE,FALSE,Medium,FALSE
rec_00054,26-09-2023,Compliance,APAC,CTL-959,Detective,FALSE,0,FALSE,21,FALSE,FALSE,FALSE,Medium,FALSE
rec_00055,15-06-2023,Risk Management,EMEA,CTL-886,Detective,FALSE,2,FALSE,32.3,FALSE,FALSE,FALSE,Medium,FALSE
rec_00056,28-03-2024,Compliance,APAC,CTL-931,Corrective,FALSE,1,FALSE,15,FALSE,FALSE,FALSE,Low,FALSE
rec_00057,18-07-2024,Risk Management,LATAM,CTL-813,Detective,FALSE,1,FALSE,35.6,FALSE,FALSE,FALSE,Low,FALSE
rec_00058,23-12-2024,Global Markets,APAC,CTL-108,Preventive,TRUE,3,FALSE,33.7,TRUE,TRUE,FALSE,Low,FALSE
rec_00059,13-03-2024,Compliance,NA,CTL-227,Detective,TRUE,0,FALSE,10.3,FALSE,FALSE,FALSE,Low,FALSE
rec_00060,28-07-2024,Retail Banking,LATAM,CTL-573,Detective,TRUE,0,FALSE,21.8,FALSE,FALSE,FALSE,Low,FALSE
rec_00061,10-01-2023,Risk Management,EMEA,CTL-479,Preventive,TRUE,2,FALSE,23.5,FALSE,FALSE,FALSE,Low,FALSE
rec_00062,25-04-2023,Retail Banking,EMEA,CTL-297,Detective,TRUE,0,TRUE,34.1,TRUE,FALSE,FALSE,Low,TRUE
rec_00063,19-03-2023,Treasury,APAC,CTL-555,Corrective,FALSE,2,FALSE,17.1,FALSE,FALSE,FALSE,Low,FALSE
rec_00064,08-12-2024,Risk Management,LATAM,CTL-109,Corrective,TRUE,0,FALSE,26.1,FALSE,FALSE,FALSE,Medium,FALSE
rec_00065,02-06-2023,Compliance,EMEA,CTL-326,Detective,TRUE,1,FALSE,35,FALSE,FALSE,FALSE,Low,FALSE
rec_00066,12-07-2024,Risk Management,EMEA,CTL-860,Preventive,FALSE,0,TRUE,26.5,FALSE,FALSE,FALSE,Medium,FALSE
rec_00067,06-02-2023,Retail Banking,LATAM,CTL-120,Preventive,TRUE,0,FALSE,5.4,FALSE,FALSE,TRUE,Low,TRUE
rec_00068,14-01-2024,Global Markets,LATAM,CTL-876,Corrective,TRUE,1,FALSE,19.1,FALSE,FALSE,FALSE,Low,FALSE
rec_00069,19-08-2024,Risk Management,EMEA,CTL-387,Detective,TRUE,0,FALSE,33,FALSE,FALSE,FALSE,Low,FALSE
rec_00070,19-07-2024,Compliance,APAC,CTL-796,Preventive,TRUE,2,TRUE,31.8,FALSE,FALSE,FALSE,Low,FALSE
rec_00071,01-06-2023,Treasury,APAC,CTL-826,Preventive,FALSE,1,FALSE,1.5,FALSE,FALSE,FALSE,Medium,FALSE
rec_00072,16-03-2024,Global Markets,APAC,CTL-466,Corrective,FALSE,2,FALSE,26,FALSE,FALSE,FALSE,Medium,FALSE
rec_00073,11-05-2023,Treasury,NA,CTL-296,Corrective,TRUE,0,TRUE,33.5,FALSE,FALSE,FALSE,Medium,FALSE
rec_00074,12-02-2023,Risk Management,LATAM,CTL-192,Preventive,TRUE,0,FALSE,29.4,FALSE,FALSE,FALSE,Low,TRUE
rec_00075,12-11-2023,Retail Banking,EMEA,CTL-935,Corrective,TRUE,1,TRUE,30.5,FALSE,TRUE,FALSE,Low,FALSE
rec_00076,09-01-2024,Retail Banking,NA,CTL-728,Preventive,FALSE,0,FALSE,44.6,FALSE,FALSE,FALSE,Medium,FALSE
rec_00077,10-02-2023,Compliance,APAC,CTL-740,Detective,FALSE,0,FALSE,23.6,FALSE,TRUE,FALSE,Medium,FALSE
rec_00078,02-01-2024,Retail Banking,NA,CTL-410,Corrective,FALSE,0,FALSE,27,FALSE,FALSE,FALSE,High,TRUE
rec_00079,04-08-2023,Global Markets,EMEA,CTL-927,Corrective,TRUE,0,FALSE,14.6,FALSE,FALSE,FALSE,Low,FALSE
rec_00080,29-11-2024,Retail Banking,EMEA,CTL-835,Detective,TRUE,2,TRUE,17.7,TRUE,FALSE,FALSE,Low,FALSE
rec_00081,13-09-2023,Compliance,LATAM,CTL-326,Preventive,FALSE,0,TRUE,20.7,TRUE,TRUE,FALSE,Medium,FALSE
rec_00082,13-11-2024,Risk Management,APAC,CTL-339,Preventive,FALSE,0,FALSE,32.5,FALSE,FALSE,FALSE,Low,FALSE
rec_00083,16-04-2023,Risk Management,APAC,CTL-605,Corrective,FALSE,1,FALSE,16.5,TRUE,FALSE,FALSE,Medium,FALSE
rec_00084,29-12-2023,Retail Banking,NA,CTL-471,Preventive,TRUE,3,FALSE,36.3,FALSE,FALSE,FALSE,Low,TRUE
rec_00085,27-07-2024,Treasury,APAC,CTL-137,Preventive,FALSE,1,FALSE,13.1,FALSE,FALSE,FALSE,Medium,FALSE
rec_00086,21-02-2024,Risk Management,NA,CTL-387,Detective,FALSE,1,FALSE,30.4,FALSE,FALSE,FALSE,Low,FALSE
rec_00087,27-09-2024,Retail Banking,EMEA,CTL-604,Detective,FALSE,1,FALSE,29.5,FALSE,TRUE,FALSE,Low,FALSE
rec_00088,08-06-2023,Compliance,EMEA,CTL-820,Detective,TRUE,0,TRUE,26.6,FALSE,FALSE,FALSE,Low,FALSE
rec_00089,31-08-2023,Retail Banking,EMEA,CTL-823,Corrective,FALSE,0,FALSE,33.8,FALSE,TRUE,FALSE,Low,FALSE
rec_00090,16-06-2023,Risk Management,EMEA,CTL-720,Detective,TRUE,0,TRUE,16.6,TRUE,FALSE,FALSE,Medium,TRUE
rec_00091,01-07-2023,Compliance,EMEA,CTL-314,Detective,FALSE,3,FALSE,19.3,FALSE,FALSE,FALSE,Medium,FALSE
rec_00092,27-02-2024,Retail Banking,NA,CTL-107,Preventive,TRUE,2,FALSE,14.4,FALSE,FALSE,FALSE,High,FALSE
rec_00093,26-01-2023,Global Markets,EMEA,CTL-300,Detective,FALSE,1,FALSE,24.1,FALSE,FALSE,FALSE,Low,FALSE
rec_00094,03-07-2023,Compliance,NA,CTL-940,Corrective,FALSE,3,TRUE,22.8,FALSE,FALSE,FALSE,Low,TRUE
rec_00095,07-12-2023,Global Markets,EMEA,CTL-753,Detective,TRUE,0,FALSE,32.6,TRUE,FALSE,FALSE,Low,TRUE
rec_00096,26-02-2024,Treasury,NA,CTL-505,Corrective,FALSE,0,FALSE,27.9,FALSE,FALSE,FALSE,Low,FALSE
rec_00097,16-11-2024,Compliance,NA,CTL-213,Preventive,TRUE,1,FALSE,30.9,FALSE,FALSE,FALSE,Low,FALSE
rec_00098,12-09-2023,Global Markets,NA,CTL-990,Preventive,FALSE,0,FALSE,22,FALSE,FALSE,FALSE,Low,FALSE
rec_00099,01-10-2023,Risk Management,APAC,CTL-384,Detective,TRUE,1,FALSE,28.1,FALSE,FALSE,FALSE,High,TRUE
rec_00100,13-06-2023,Risk Management,NA,CTL-682,Preventive,TRUE,1,TRUE,42.1,TRUE,FALSE,FALSE,High,TRUE
rec_00101,19-12-2024,Treasury,NA,CTL-612,Detective,FALSE,0,TRUE,10.5,TRUE,FALSE,FALSE,Low,FALSE
rec_00102,21-04-2023,Compliance,EMEA,CTL-605,Preventive,TRUE,2,FALSE,5.6,FALSE,FALSE,FALSE,Low,TRUE
rec_00103,27-01-2024,Compliance,NA,CTL-274,Corrective,FALSE,4,TRUE,30.4,TRUE,FALSE,FALSE,Low,TRUE
rec_00104,09-02-2023,Compliance,NA,CTL-665,Preventive,FALSE,5,FALSE,15.5,FALSE,FALSE,FALSE,Low,FALSE
rec_00105,26-04-2024,Treasury,LATAM,CTL-298,Detective,FALSE,0,TRUE,10.2,FALSE,FALSE,FALSE,Medium,FALSE
rec_00106,16-08-2023,Compliance,APAC,CTL-775,Detective,FALSE,2,FALSE,29.3,FALSE,FALSE,FALSE,Low,FALSE
rec_00107,24-07-2023,Risk Management,LATAM,CTL-856,Detective,TRUE,0,TRUE,14,FALSE,FALSE,FALSE,Medium,TRUE
rec_00108,16-04-2024,Global Markets,EMEA,CTL-679,Corrective,FALSE,1,TRUE,39.4,FALSE,FALSE,FALSE,High,FALSE
rec_00109,25-12-2023,Risk Management,APAC,CTL-788,Preventive,TRUE,0,FALSE,25.6,FALSE,FALSE,TRUE,Medium,TRUE
rec_00110,09-11-2023,Risk Management,APAC,CTL-798,Detective,FALSE,0,TRUE,22,FALSE,TRUE,FALSE,Low,TRUE
rec_00111,22-08-2023,Global Markets,LATAM,CTL-717,Corrective,FALSE,1,TRUE,15.8,FALSE,FALSE,FALSE,Low,FALSE
rec_00112,17-08-2023,Risk Management,APAC,CTL-678,Corrective,FALSE,2,TRUE,26.2,FALSE,FALSE,FALSE,Low,FALSE
rec_00113,25-01-2023,Treasury,LATAM,CTL-279,Corrective,TRUE,0,FALSE,8.1,FALSE,TRUE,FALSE,Medium,FALSE
rec_00114,06-11-2024,Global Markets,NA,CTL-166,Preventive,FALSE,0,FALSE,-0.7,TRUE,FALSE,FALSE,Low,FALSE
rec_00115,17-07-2023,Risk Management,LATAM,CTL-702,Preventive,FALSE,2,FALSE,8.5,FALSE,FALSE,FALSE,Low,FALSE
rec_00116,13-02-2024,Retail Banking,APAC,CTL-231,Preventive,FALSE,1,TRUE,35.4,FALSE,FALSE,FALSE,High,FALSE
rec_00117,03-12-2023,Risk Management,APAC,CTL-863,Corrective,TRUE,2,FALSE,14.8,FALSE,FALSE,FALSE,Medium,FALSE
rec_00118,13-10-2023,Treasury,EMEA,CTL-166,Preventive,FALSE,0,TRUE,9.7,FALSE,FALSE,TRUE,Low,FALSE
rec_00119,13-03-2023,Compliance,EMEA,CTL-230,Detective,TRUE,0,FALSE,23.1,FALSE,FALSE,TRUE,Low,FALSE
rec_00120,13-10-2023,Risk Management,EMEA,CTL-365,Corrective,FALSE,0,FALSE,46.2,TRUE,FALSE,FALSE,Medium,FALSE
rec_00121,26-12-2023,Compliance,EMEA,CTL-683,Preventive,FALSE,1,FALSE,34.9,TRUE,FALSE,FALSE,Low,FALSE
rec_00122,18-10-2024,Retail Banking,APAC,CTL-976,Corrective,TRUE,0,TRUE,16,FALSE,FALSE,FALSE,High,FALSE
rec_00123,05-06-2024,Risk Management,EMEA,CTL-333,Corrective,TRUE,2,FALSE,15.8,FALSE,FALSE,FALSE,Low,FALSE
rec_00124,14-02-2024,Global Markets,LATAM,CTL-635,Preventive,FALSE,3,TRUE,16,FALSE,FALSE,FALSE,High,TRUE
rec_00125,26-11-2024,Compliance,NA,CTL-846,Corrective,TRUE,0,FALSE,14.9,TRUE,FALSE,FALSE,Low,TRUE
rec_00126,03-07-2024,Retail Banking,APAC,CTL-901,Preventive,TRUE,1,TRUE,29.4,FALSE,TRUE,FALSE,Medium,FALSE
rec_00127,06-12-2023,Global Markets,EMEA,CTL-380,Preventive,FALSE,0,FALSE,20.6,TRUE,FALSE,FALSE,Low,FALSE
rec_00128,29-01-2023,Global Markets,APAC,CTL-296,Preventive,FALSE,1,TRUE,12.9,FALSE,FALSE,FALSE,High,FALSE
rec_00129,29-04-2023,Global Markets,EMEA,CTL-968,Corrective,FALSE,1,FALSE,10.6,FALSE,FALSE,FALSE,Medium,FALSE
rec_00130,25-09-2023,Global Markets,APAC,CTL-794,Corrective,TRUE,1,TRUE,47,FALSE,FALSE,TRUE,Low,FALSE
rec_00131,02-07-2023,Risk Management,EMEA,CTL-123,Preventive,TRUE,1,FALSE,31.4,TRUE,FALSE,FALSE,Medium,FALSE
rec_00132,17-08-2024,Risk Management,NA,CTL-809,Corrective,FALSE,1,FALSE,15.4,TRUE,FALSE,FALSE,High,FALSE
rec_00133,29-09-2023,Risk Management,EMEA,CTL-794,Preventive,FALSE,1,TRUE,36.1,FALSE,TRUE,FALSE,Low,TRUE
rec_00134,09-02-2023,Retail Banking,LATAM,CTL-645,Detective,FALSE,3,FALSE,12.5,FALSE,FALSE,TRUE,High,FALSE
rec_00135,22-04-2023,Retail Banking,APAC,CTL-729,Corrective,FALSE,1,FALSE,22.6,FALSE,FALSE,FALSE,Medium,FALSE
rec_00136,02-09-2024,Retail Banking,APAC,CTL-358,Corrective,FALSE,0,TRUE,21.5,FALSE,FALSE,FALSE,Low,FALSE
rec_00137,20-03-2024,Treasury,LATAM,CTL-797,Detective,TRUE,0,FALSE,25.8,FALSE,TRUE,FALSE,Low,FALSE
rec_00138,20-12-2023,Retail Banking,LATAM,CTL-673,Detective,FALSE,1,FALSE,14.6,FALSE,FALSE,FALSE,Low,FALSE
rec_00139,18-11-2023,Risk Management,NA,CTL-564,Detective,FALSE,0,FALSE,25.3,FALSE,FALSE,FALSE,Low,FALSE
rec_00140,22-03-2024,Risk Management,APAC,CTL-102,Preventive,FALSE,0,FALSE,6.5,FALSE,TRUE,FALSE,Low,FALSE
rec_00141,12-09-2024,Treasury,NA,CTL-537,Preventive,FALSE,3,TRUE,20.2,FALSE,FALSE,FALSE,Low,FALSE
rec_00142,07-06-2024,Treasury,APAC,CTL-756,Detective,FALSE,3,FALSE,37.4,FALSE,FALSE,FALSE,Low,FALSE
rec_00143,29-04-2023,Retail Banking,APAC,CTL-789,Preventive,FALSE,1,TRUE,34.3,FALSE,FALSE,FALSE,Low,FALSE
rec_00144,30-01-2024,Compliance,NA,CTL-765,Corrective,TRUE,1,TRUE,17,TRUE,FALSE,TRUE,High,FALSE
rec_00145,13-08-2024,Treasury,APAC,CTL-153,Detective,FALSE,2,FALSE,8.7,FALSE,FALSE,FALSE,High,TRUE
rec_00146,14-07-2023,Global Markets,APAC,CTL-974,Corrective,FALSE,1,TRUE,2.2,FALSE,FALSE,FALSE,Medium,FALSE
rec_00147,18-09-2023,Risk Management,NA,CTL-430,Preventive,FALSE,0,TRUE,30.2,FALSE,FALSE,FALSE,Low,FALSE
rec_00148,15-02-2023,Global Markets,EMEA,CTL-542,Detective,FALSE,0,FALSE,26.8,FALSE,FALSE,FALSE,Medium,FALSE
rec_00149,26-12-2024,Risk Management,NA,CTL-964,Preventive,FALSE,4,FALSE,27.9,FALSE,FALSE,FALSE,High,FALSE
rec_00150,22-03-2024,Risk Management,APAC,CTL-516,Corrective,FALSE,1,TRUE,40.9,TRUE,FALSE,FALSE,Low,FALSE
rec_00151,02-01-2023,Treasury,LATAM,CTL-380,Preventive,FALSE,2,FALSE,25.5,FALSE,TRUE,FALSE,Low,FALSE
rec_00152,16-06-2024,Treasury,EMEA,CTL-224,Corrective,FALSE,0,TRUE,26.3,FALSE,TRUE,TRUE,Medium,FALSE
rec_00153,05-07-2024,Global Markets,LATAM,CTL-796,Preventive,FALSE,0,FALSE,10,FALSE,FALSE,FALSE,Low,FALSE
rec_00154,04-12-2024,Risk Management,EMEA,CTL-630,Corrective,FALSE,0,FALSE,40.2,FALSE,FALSE,TRUE,High,TRUE
rec_00155,17-11-2024,Global Markets,LATAM,CTL-577,Preventive,FALSE,3,FALSE,22.4,FALSE,FALSE,FALSE,Low,FALSE
rec_00156,21-07-2023,Compliance,EMEA,CTL-607,Detective,FALSE,0,FALSE,15.8,FALSE,FALSE,TRUE,High,FALSE
rec_00157,08-01-2024,Global Markets,NA,CTL-470,Detective,TRUE,0,FALSE,26.1,FALSE,FALSE,TRUE,High,FALSE
rec_00158,17-03-2024,Retail Banking,EMEA,CTL-629,Preventive,TRUE,1,FALSE,44,FALSE,TRUE,FALSE,Low,FALSE
rec_00159,13-03-2023,Global Markets,EMEA,CTL-877,Corrective,FALSE,1,FALSE,45.4,TRUE,FALSE,FALSE,Low,FALSE
rec_00160,11-11-2024,Retail Banking,EMEA,CTL-144,Preventive,FALSE,0,FALSE,14.3,FALSE,FALSE,FALSE,Medium,FALSE
rec_00161,05-12-2023,Retail Banking,APAC,CTL-838,Detective,TRUE,0,FALSE,35.8,FALSE,FALSE,FALSE,Low,FALSE
rec_00162,30-09-2024,Retail Banking,LATAM,CTL-329,Corrective,TRUE,0,FALSE,27.4,FALSE,TRUE,FALSE,Low,FALSE
rec_00163,18-11-2023,Compliance,NA,CTL-148,Preventive,TRUE,3,FALSE,33.9,FALSE,FALSE,FALSE,High,FALSE
rec_00164,10-11-2024,Global Markets,LATAM,CTL-384,Preventive,FALSE,0,FALSE,26.8,FALSE,FALSE,FALSE,Low,FALSE
rec_00165,08-05-2023,Global Markets,LATAM,CTL-530,Corrective,FALSE,0,FALSE,30.1,FALSE,FALSE,FALSE,High,FALSE
rec_00166,04-11-2023,Compliance,NA,CTL-645,Preventive,TRUE,0,FALSE,37.2,FALSE,TRUE,FALSE,Medium,FALSE
rec_00167,03-06-2024,Risk Management,APAC,CTL-559,Detective,FALSE,3,TRUE,6.5,FALSE,FALSE,FALSE,Low,TRUE
rec_00168,13-11-2023,Treasury,EMEA,CTL-423,Detective,TRUE,1,FALSE,27.6,FALSE,FALSE,FALSE,Low,TRUE
rec_00169,13-11-2024,Global Markets,APAC,CTL-105,Corrective,FALSE,0,TRUE,12.3,TRUE,TRUE,TRUE,Medium,FALSE
rec_00170,23-02-2024,Treasury,APAC,CTL-501,Preventive,FALSE,1,FALSE,19.4,FALSE,FALSE,FALSE,Low,FALSE
rec_00171,01-12-2023,Compliance,EMEA,CTL-299,Preventive,FALSE,2,FALSE,24,FALSE,FALSE,FALSE,Low,FALSE
rec_00172,17-02-2024,Risk Management,LATAM,CTL-442,Detective,TRUE,0,TRUE,13.9,FALSE,TRUE,TRUE,Low,TRUE
rec_00173,14-12-2024,Risk Management,EMEA,CTL-183,Corrective,TRUE,0,FALSE,18.2,TRUE,FALSE,TRUE,Medium,FALSE
rec_00174,30-10-2023,Risk Management,NA,CTL-685,Corrective,FALSE,0,FALSE,10,FALSE,TRUE,FALSE,Medium,FALSE
rec_00175,21-07-2024,Compliance,EMEA,CTL-927,Corrective,TRUE,0,TRUE,18.1,FALSE,FALSE,FALSE,High,TRUE
rec_00176,11-05-2023,Retail Banking,LATAM,CTL-125,Detective,FALSE,1,TRUE,29.1,FALSE,TRUE,FALSE,Low,FALSE
rec_00177,16-07-2023,Retail Banking,APAC,CTL-855,Detective,FALSE,2,FALSE,32.7,TRUE,FALSE,FALSE,Low,FALSE
rec_00178,06-03-2024,Treasury,APAC,CTL-331,Corrective,FALSE,1,FALSE,16.3,FALSE,TRUE,TRUE,High,FALSE
rec_00179,11-11-2024,Retail Banking,EMEA,CTL-806,Corrective,FALSE,1,FALSE,37.3,FALSE,TRUE,FALSE,Low,FALSE
rec_00180,24-01-2024,Retail Banking,NA,CTL-533,Preventive,TRUE,1,FALSE,29.8,FALSE,FALSE,FALSE,Medium,FALSE
rec_00181,24-11-2024,Risk Management,LATAM,CTL-176,Preventive,FALSE,1,FALSE,38.3,FALSE,FALSE,FALSE,Medium,FALSE
rec_00182,28-06-2023,Risk Management,APAC,CTL-355,Corrective,FALSE,2,FALSE,6.3,FALSE,FALSE,FALSE,Low,FALSE
rec_00183,22-09-2024,Treasury,EMEA,CTL-301,Detective,TRUE,0,FALSE,27.1,FALSE,TRUE,FALSE,High,FALSE
rec_00184,05-08-2024,Global Markets,NA,CTL-268,Detective,FALSE,0,TRUE,30.1,FALSE,FALSE,FALSE,Low,FALSE
rec_00185,05-11-2023,Treasury,NA,CTL-437,Preventive,FALSE,2,FALSE,6.8,TRUE,FALSE,FALSE,Medium,TRUE
rec_00186,20-02-2024,Treasury,APAC,CTL-418,Corrective,FALSE,0,FALSE,48.1,FALSE,TRUE,FALSE,Low,FALSE
rec_00187,15-07-2024,Compliance,APAC,CTL-164,Detective,TRUE,0,FALSE,17.6,FALSE,FALSE,FALSE,Medium,FALSE
rec_00188,01-01-2023,Compliance,LATAM,CTL-741,Detective,FALSE,1,FALSE,29.4,FALSE,FALSE,FALSE,High,FALSE
